stock,mpg,RP,tau,E,rho
Bear Valley Creek,Middle Fork Salmon,salm.recspn4n.0,5,3,0.49
Big Creek,Middle Fork Salmon,salm.recspn4n.0,3,2,0.37
Camas Creek,Middle Fork Salmon,salm.recspn4n.0,4,6,0.41
Catherine Creek,Imnaha,salm.recspn4n.0,4,3,0.49
Imnaha River,Imnaha,salm.recspn4n.0,2,4,0.56
Loon Creek,Middle Fork Salmon,salm.recspn4n.0,5,2,0.69
Marsh Creek,Middle Fork Salmon,salm.recspn4n.0,3,2,0.71
Minam River,Imnaha,salm.recspn4n.0,3,4,0.5
Salmon River Upper Mainstem above Redfish Lake,Upper Salmon,salm.recspn4n.0,3,2,0.52
Secesh River,South Fork Salmon,salm.recspn4n.0,2,2,0.84
South Fork Salmon River Mainstem,South Fork Salmon,salm.recspn4n.0,3,4,0.41
Valley Creek,Upper Salmon,salm.recspn4n.0,1,2,0.49
"Wallowa River, Hurricane Creek, Bear Creek, and Lostine Rivers",Imnaha,salm.recspn4n.0,3,4,0.66
Big Creek,Middle Fork Salmon,salm.recspn5n.0,4,3,0.55
Camas Creek,Middle Fork Salmon,salm.recspn5n.0,2,7,0.37
Grande Ronde Upper Mainstem,Imnaha,salm.recspn5n.0,3,7,0.67
Loon Creek,Middle Fork Salmon,salm.recspn5n.0,5,2,0.43
Salmon River Lower Mainstem below Redfish Lake,Upper Salmon,salm.recspn5n.0,1,3,0.52
Sulphur Creek,Middle Fork Salmon,salm.recspn5n.0,4,3,0.45
Valley Creek,Upper Salmon,salm.recspn5n.0,5,3,0.52
Wenaha River,Imnaha,salm.recspn5n.0,4,5,0.43