Year,Spp.Int_SRKW,,,year,J,K,L,Total
1976,71,,,1973,14,16,33,63
1977,80,,,1974,14,16,37,67
1978,80,,,1975,15,16,39,70
1979,82,,,1976,15,15,40,70
1980,84,,,1977,16,15,40,71
1981,82,,,1978,18,16,45,79
1982,79,,,1979,18,16,45,79
1983,76,,,1980,19,16,46,81
1984,74,,,1981,18,16,47,81
1985,77,,,1982,18,15,45,78
1986,81,,,1983,19,14,43,76
1987,84,,,1984,17,14,40,71
1988,85,,,1985,17,13,42,72
1989,85,,,1986,17,14,43,74
1990,88,,,1987,17,16,47,80
1991,92,,,1988,18,17,48,83
1992,91,,,1989,18,17,48,83
1993,97,,,1990,18,16,48,82
1994,96,,,1991,18,16,53,87
1995,98,,,1992,19,16,55,90
1996,97,,,1993,19,16,56,91
1997,92,,,1994,20,17,57,94
1998,89,,,1995,20,18,54,92
1999,85,,,1996,20,18,54,92
2000,82,,,1997,21,19,52,92
2001,78,,,1998,20,18,49,87
2002,79,,,1999,20,16,46,82
2003,82,,,2000,20,16,46,82
2004,83,,,2001,19,16,42,77
2005,88,,,2002,20,18,43,81
2006,89,,,2003,20,19,41,80
2007,86,,,2004,22,20,42,84
2008,85,,,2005,23,21,43,87
2009,85,,,2006,24,20,44,88
2010,86,,,2007,24,19,41,84
2011,87,,,2008,26,19,42,87
2012,84,,,2009,24,19,39,82
2013,82,,,2010,27,19,40,86
2014,78,,,2011,26,19,41,86
2015,81,,,2012,27,20,42,89
2016,83,,,2013,26,19,39,84
2017,77,,,2014,25,19,36,80
2018,75,,,2015,25,19,34,78
,,,,2016,30,19,36,85
,,,,2017,25,19,35,79
,,,,,23,18,35,76
,,,,,22,18,34,74