Year,Spp.Int_SL.pups,Spp.Int_SL.males
1975,12499,39788
1976,14749,42226
1977,11712,40415
1978,13449,39971
1979,14145,40661
1980,14878,41153
1981,16701,42249
1982,20540,45899
1983,11595,41465
1984,13550,39354
1985,15224,39259
1986,17896,41187
1987,19796,43827
1988,19452,46337
1989,23757,51021
1990,25422,56040
1991,30747,62383
1992,22364,62675
1993,24274,62178
1994,36184,68990
1995,36073,76067
1996,41044,82570
1997,39245,86367
1998,14506,62559
1999,41695,72932
2000,49372,84274
2001,49078,85126
2002,45658,86612
2003,36659,81384
2004,43490,85342
2005,48331,92825
2006,56144,106364
2007,54088,114561
2008,59774,125359
2009,35914,121926
2010,33873,106348
2011,62109,120315
2012,67396,135071
2013,42913,107652
2014,47691,109107