FP,cat,subcat,offset,ESU_rec4n,Middle Fork Salmon_rec4n,Imnaha_rec4n,Upper Salmon_rec4n,ESU_rec5n,Middle Fork Salmon_rec5n,Imnaha_rec5n,Upper Salmon_rec5n
hseal.COL.2,hseal,COL,2,0.24314931,NA,NA,NA,0.37978932,0.24620793,0.05375611,NA
hseal.COL.3,hseal,COL,3,0.21855041,NA,NA,NA,0.34086353,0.28309472,NA,NA
hseal.COL.4,hseal,COL,4,0.17421615,NA,NA,NA,0.45956701,0.29919875,NA,NA
hseal.COL.5,hseal,COL,5,0.19518304,NA,NA,NA,0.46157157,0.27134612,0.24650826,NA
npgo.fal.2,npgo,fal,2,0.35887709,0.32357964,NA,NA,0.42449845,0.35070523,0.23526543,0.318387407
npgo.fal.3,npgo,fal,3,0.32318767,0.34399236,0.17630852,0.22873827,0.38369388,0.29782866,0.10219811,0.152608896
npgo.fal.4,npgo,fal,4,0.31612572,0.29904008,0.09675627,NA,0.35272327,0.29880814,NA,0.144441889
npgo.fal.5,npgo,fal,5,0.25587994,0.15719056,NA,NA,0.36669472,0.2745541,NA,0.183393635
npgo.spr.2,npgo,spr,2,0.38540514,0.41649643,NA,NA,0.47339195,0.42673591,0.27466367,0.415344935
npgo.spr.3,npgo,spr,3,0.35988565,0.39975141,0.14507209,NA,0.46412531,0.42799659,0.21130619,0.274208035
npgo.spr.4,npgo,spr,4,0.3942859,0.37567434,0.17779648,0.19325864,0.39751763,0.33046497,0.08465312,0.0926412
npgo.spr.5,npgo,spr,5,0.34247773,0.29612329,0.05317816,NA,0.37775662,0.33110925,NA,0.16601534
npgo.sum.2,npgo,sum,2,0.33229203,0.32066255,NA,NA,0.46043598,0.41718022,0.23200799,0.302319645
npgo.sum.3,npgo,sum,3,0.30397277,0.3725975,NA,0.26079803,0.44619388,0.36713912,0.15438314,0.219302457
npgo.sum.4,npgo,sum,4,0.35530585,0.35753508,0.13479034,0.10582631,0.3966899,0.33861292,0.0586291,0.107473171
npgo.sum.5,npgo,sum,5,0.34343947,0.31488967,NA,NA,0.39042783,0.33218191,NA,0.201442514
npgo.win.2,npgo,win,2,0.36235457,0.36657371,NA,NA,0.48911141,0.39900182,0.29567371,0.279727461
npgo.win.3,npgo,win,3,0.41460392,0.40511962,NA,NA,0.459652,0.40468554,0.25400331,0.254690891
npgo.win.4,npgo,win,4,0.39444648,0.40172385,0.13869338,NA,0.44239764,0.34387867,0.14240161,0.201222085
npgo.win.5,npgo,win,5,0.32841039,0.29205223,NA,NA,0.37912019,0.30997508,NA,0.155248386
npgo.yravg.2,npgo,yravg,2,0.38261013,0.40410951,NA,NA,0.47452743,0.38823223,0.30570934,0.309016173
npgo.yravg.3,npgo,yravg,3,0.39051736,0.4137686,0.19501024,NA,0.46265024,0.38085373,0.18356689,0.212300506
npgo.yravg.4,npgo,yravg,4,0.37218871,0.40874814,0.12965261,NA,0.38922884,0.32336356,0.12398822,0.09640214
npgo.yravg.5,npgo,yravg,5,0.32840269,0.28991933,0.07175939,NA,0.37687097,0.32350936,NA,0.188597812
npgo.yrsum.2,npgo,yrsum,2,0.39620905,0.41434445,NA,0.26997665,0.48348189,0.39403946,0.28585958,0.330758911
npgo.yrsum.3,npgo,yrsum,3,0.3590041,0.37798634,0.18401804,NA,0.46887167,0.38123014,0.15027696,0.245014288
npgo.yrsum.4,npgo,yrsum,4,0.38430472,0.36303025,0.11853346,0.17404915,0.41428895,0.34073291,0.08120008,0.1460553764
npgo.yrsum.5,npgo,yrsum,5,0.3390349,0.27574304,0.04890389,NA,0.37990562,0.27834338,NA,0.1887724403
orca.DNRKW.4,orca,DNRKW,4,0.45678142,0.33946838,NA,NA,0.42989483,0.21404309,0.01420335,0.2373274346
orca.DNRKW.5,orca,DNRKW,5,0.41712759,0.36300462,NA,NA,0.36741182,0.19391994,0.10601631,NA
orca.DSEAK.4,orca,DSEAK,4,0.44931846,0.45478056,NA,NA,0.47748745,0.34993277,NA,NA
orca.DSEAK.5,orca,DSEAK,5,0.44529926,0.34450904,NA,NA,0.54421555,0.37233375,NA,0.2719976089
orca.NRKW.4,orca,NRKW,4,0.17626812,NA,NA,NA,0.26270277,0.27247517,NA,NA
orca.NRKW.5,orca,NRKW,5,0.20294789,NA,NA,NA,0.29659233,0.27807507,NA,NA
orca.SEAK.4,orca,SEAK,4,NA,NA,NA,NA,0.33185725,0.17021632,0.1045333,NA
orca.SEAK.5,orca,SEAK,5,NA,NA,NA,NA,0.34772735,0.22563484,0.03421979,NA
orca.SRKWbirthsJKL.4,orca,SRKWbirthsJKL,4,0.28772492,0.2270759,0.08419822,NA,0.29814571,0.32263128,0.1590977,0.2139633245
orca.SRKWbirthsJKL.5,orca,SRKWbirthsJKL,5,0.25758414,0.12888413,NA,NA,0.3058876,0.33418079,0.09489514,0.1479035592
orca.SRKWdeathsJKL.4,orca,SRKWdeathsJKL,4,0.31576591,NA,NA,NA,0.41829121,0.34456843,0.24843815,0.2475367082
orca.SRKWdeathsJKL.5,orca,SRKWdeathsJKL,5,0.32687109,0.14777545,NA,0.19169074,0.40664173,0.30357208,0.3344932,NA
orca.SRKWpodJ.4,orca,SRKWpodJ,4,NA,NA,NA,NA,0.13642155,0.10374118,NA,NA
orca.SRKWpodJ.5,orca,SRKWpodJ,5,NA,NA,NA,NA,0.19358425,0.11298187,NA,NA
orca.SRKWpodJKL.4,orca,SRKWpodJKL,4,0.25671451,0.03321435,NA,NA,0.21954926,0.25928086,NA,NA
orca.SRKWpodJKL.5,orca,SRKWpodJKL,5,0.25275838,0.09292656,NA,NA,0.23554897,0.21557721,NA,NA
orca.SRKWpodK.4,orca,SRKWpodK,4,NA,NA,NA,NA,0.21747647,0.20194387,NA,0.0007896301
orca.SRKWpodK.5,orca,SRKWpodK,5,0.30950294,NA,NA,NA,0.30172347,0.26685374,NA,0.0652068375
orca.SRKWpodKL.4,orca,SRKWpodKL,4,0.33823198,0.12269946,NA,NA,0.21201392,0.25376589,NA,NA
orca.SRKWpodKL.5,orca,SRKWpodKL,5,0.27758064,0.09514246,NA,NA,0.18706382,0.27860246,NA,NA
orca.SRKWpodL.4,orca,SRKWpodL,4,0.3752574,NA,NA,NA,0.15130921,0.25451317,NA,NA
orca.SRKWpodL.5,orca,SRKWpodL,5,NA,NA,NA,NA,0.18946337,0.21734789,NA,NA
pdo.fal.2,pdo,fal,2,0.24684932,0.28638665,NA,NA,0.35410372,0.29020087,0.30586507,0.0991708154
pdo.fal.3,pdo,fal,3,0.18275269,0.20774176,NA,NA,0.35098282,0.26902638,0.22371044,0.0406131864
pdo.fal.4,pdo,fal,4,0.19347039,0.15848658,NA,NA,0.30352021,0.20505429,0.21596828,NA
pdo.fal.5,pdo,fal,5,0.20441001,0.06501935,NA,0.01563083,0.28827582,0.18115321,0.09849311,NA
pdo.spr.2,pdo,spr,2,0.38009804,NA,NA,NA,0.38133556,0.28921378,0.18448578,NA
pdo.spr.3,pdo,spr,3,0.26593793,0.22312226,NA,NA,0.41136373,0.32595441,0.06727846,NA
pdo.spr.4,pdo,spr,4,0.26886654,0.24231406,0.16154032,NA,0.33130796,0.27913306,0.09662192,NA
pdo.spr.5,pdo,spr,5,0.22876729,0.22502811,NA,NA,0.30467601,0.25244509,NA,0.1403525877
pdo.sum.2,pdo,sum,2,0.36323009,0.35562196,NA,NA,0.33706308,0.27696599,0.34272579,0.1868183297
pdo.sum.3,pdo,sum,3,NA,0.25789585,NA,NA,0.36956101,0.27937584,0.22225278,NA
pdo.sum.4,pdo,sum,4,0.23090816,0.18992701,NA,NA,0.35441776,0.19635393,0.18850645,NA
pdo.sum.5,pdo,sum,5,0.21825063,NA,NA,NA,0.33338062,0.206384,0.09851321,NA
pdo.win.2,pdo,win,2,0.23924548,0.17035964,NA,NA,0.31341146,0.32505385,NA,NA
pdo.win.3,pdo,win,3,0.17261263,NA,NA,NA,0.28945677,0.24663834,0.13210647,0.0847329567
pdo.win.4,pdo,win,4,0.13193287,NA,NA,NA,0.2798898,0.25657198,0.06512606,NA
pdo.win.5,pdo,win,5,0.15830445,0.11824636,NA,NA,0.25290333,NA,NA,NA
pdo.yr.2,pdo,yr,2,0.34820566,0.31912589,NA,NA,0.34418714,0.2563149,0.2387579,NA
pdo.yr.3,pdo,yr,3,0.2433552,0.19605731,NA,NA,0.35537692,0.25930274,0.14603056,NA
pdo.yr.4,pdo,yr,4,0.22056305,0.16366204,NA,NA,0.31338687,0.18531353,0.10688113,NA
pdo.yr.5,pdo,yr,5,0.19764148,NA,NA,NA,0.25847419,0.110922,NA,NA
ssl.bonn.2,ssl,bonn,2,0.38772891,0.35419446,NA,NA,0.13303193,NA,NA,NA
ssl.bonn.3,ssl,bonn,3,0.37285381,0.23034951,NA,NA,0.09655799,0.14444297,0.03900473,NA
ssl.bonn.4,ssl,bonn,4,0.32801533,0.12800474,NA,NA,0.14898058,0.09099469,0.06602362,NA
ssl.bonn.5,ssl,bonn,5,0.31608901,NA,NA,NA,0.1867973,0.17759433,NA,NA
ssl.COL.2,ssl,COL,2,0.51150921,NA,NA,NA,0.62229764,NA,0.41105084,NA
ssl.COL.3,ssl,COL,3,0.44792776,NA,NA,NA,0.57618731,NA,0.25178829,0.3648057295
ssl.COL.4,ssl,COL,4,0.48532004,NA,NA,NA,0.53861414,0.22537188,NA,0.2928208231
ssl.COL.5,ssl,COL,5,0.4090913,NA,NA,NA,0.52635318,0.21808325,0.10380774,0.1095146995
ssl.rookORraw.2,ssl,rookORraw,2,0.40404792,0.18717318,NA,NA,0.27915159,0.21751184,NA,NA
ssl.rookORraw.3,ssl,rookORraw,3,0.35910772,0.11725059,NA,NA,0.30757637,0.2258134,NA,NA
ssl.rookORraw.4,ssl,rookORraw,4,0.3809484,0.1656263,NA,NA,0.18621277,0.13373515,NA,NA
ssl.rookORraw.5,ssl,rookORraw,5,0.36628916,NA,0.0570459,NA,0.18314684,0.0977025,0.24762563,NA
upw.fal.2,upw,fal,2,0.23209747,0.16664373,NA,NA,0.30527726,0.29548834,0.17377639,NA
upw.fal.3,upw,fal,3,0.17704537,0.10698937,NA,NA,0.29018665,0.36093935,NA,0.1670205564
upw.fal.4,upw,fal,4,0.1920209,0.14147401,NA,NA,0.25109326,0.40685904,NA,0.1608613301
upw.fal.5,upw,fal,5,0.26844664,0.17717125,0.06014508,NA,0.31641827,0.32859722,0.06334673,0.2671360626
upw.fti.2,upw,fti,2,0.26923904,0.23870434,NA,NA,0.40484302,0.27786223,0.23284581,0.1745265894
upw.fti.3,upw,fti,3,0.27953072,0.30674818,NA,NA,0.34822168,0.30461344,0.14682899,0.113887683
upw.fti.4,upw,fti,4,0.23021795,0.26527835,NA,NA,0.34368991,0.28157541,0.14502549,0.1814640121
upw.fti.5,upw,fti,5,0.18736878,0.19321993,NA,NA,0.31700509,0.29956558,0.17855587,0.072264187
upw.lusi.2,upw,lusi,2,0.26436861,0.30022483,NA,NA,0.39413524,0.25705972,0.27143067,NA
upw.lusi.3,upw,lusi,3,0.27464792,0.24070181,NA,NA,0.39081029,0.43533678,NA,NA
upw.lusi.4,upw,lusi,4,0.30614266,0.27282845,NA,NA,0.42771386,0.47645317,0.22460461,0.2532663808
upw.lusi.5,upw,lusi,5,0.31118078,0.32969163,NA,NA,0.45554133,0.47389034,0.2214296,NA
upw.spr.2,upw,spr,2,0.20564639,0.17558193,NA,NA,0.31832555,0.22694396,NA,NA
upw.spr.3,upw,spr,3,0.26736194,0.2084796,NA,0.1090487,0.34336126,0.29466484,NA,NA
upw.spr.4,upw,spr,4,0.2980463,0.23292201,NA,NA,0.30833131,0.34671809,NA,NA
upw.spr.5,upw,spr,5,0.30388661,0.2565361,NA,NA,0.32771942,0.28037174,NA,0.2355844974
upw.sti.2,upw,sti,2,0.22530632,NA,NA,NA,0.37592998,0.36980878,0.2337419,NA
upw.sti.3,upw,sti,3,0.21990914,0.13502293,NA,NA,0.34218796,0.40938116,NA,NA
upw.sti.4,upw,sti,4,0.21351177,0.20560954,NA,NA,0.41254596,0.37202727,NA,NA
upw.sti.5,upw,sti,5,NA,NA,NA,NA,0.39273025,0.38495348,NA,0.2559049864
upw.sum.2,upw,sum,2,0.11770955,0.11974427,NA,NA,0.33622853,0.32335261,NA,NA
upw.sum.3,upw,sum,3,0.12098823,NA,NA,NA,0.31278222,0.25091636,NA,NA
upw.sum.4,upw,sum,4,0.11701602,NA,NA,NA,0.28274525,0.29396974,NA,NA
upw.sum.5,upw,sum,5,0.14281287,0.18248771,NA,NA,0.27697563,0.25992686,0.16885819,0.1359325555
upw.tdmi.2,upw,tdmi,2,0.36512345,0.39289761,NA,NA,0.38463162,0.31000532,0.16248768,NA
upw.tdmi.3,upw,tdmi,3,0.41770192,0.44457116,NA,NA,0.41136143,0.37984892,0.16296302,0.2020440006
upw.tdmi.4,upw,tdmi,4,0.42054629,0.44529363,0.24824526,NA,0.44797301,0.40303473,0.21956059,0.35006844
upw.tdmi.5,upw,tdmi,5,0.45111702,0.40132776,NA,NA,0.4425901,0.39112101,0.14226425,0.2856710951
upw.tumi.2,upw,tumi,2,0.14842195,0.12564278,NA,NA,0.38305195,0.27137774,NA,NA
upw.tumi.3,upw,tumi,3,0.22631743,NA,0.10171952,NA,0.38482609,0.35199926,NA,0.1299610563
upw.tumi.4,upw,tumi,4,0.25364995,0.27946813,0.04165709,NA,0.36504106,0.35977204,NA,0.1795620747
upw.tumi.5,upw,tumi,5,0.27006708,0.27959427,NA,NA,0.35427914,0.35669051,NA,NA
upw.win.2,upw,win,2,0.26914794,NA,NA,NA,0.26298274,0.26970652,0.07131341,NA
upw.win.3,upw,win,3,0.28433456,0.27502532,NA,NA,0.308927,0.32693328,0.06574412,NA
upw.win.4,upw,win,4,0.27652458,0.28416392,NA,NA,0.32128181,0.25482417,0.15084906,NA
upw.win.5,upw,win,5,0.29491155,0.27443662,NA,NA,0.29729947,0.25077022,0.14772111,NA
upw.yr.2,upw,yr,2,0.31844743,0.29181289,NA,NA,0.27717417,0.23882015,0.14528862,NA
upw.yr.3,upw,yr,3,0.33701555,0.37441277,NA,NA,0.34377218,0.37048774,0.14884709,0.1301666116
upw.yr.4,upw,yr,4,0.31357232,0.33473495,NA,NA,0.31507622,0.27052359,0.16093351,0.2022563615
upw.yr.5,upw,yr,5,0.35777823,0.34255333,NA,NA,0.34649555,0.30067349,NA,0.2884247152