"","FP","cat","subcat","offset","ESU","MFS","IMN","UPS","subcat_ESU","subcat_MFS","subcat_IMN","subcat_UPS","sum_subcat"
"1","arc.win.4","arc","win",4,0.38327538,0.30173659,0.10516856,0.3467172557,NA,NA,NA,1,1
"2","csl.bonn.2","csl","bonn",2,0.31213,0.30150539,0.04552891,0.0575065206,1,NA,NA,NA,1
"3","csl.bonn.3","csl","bonn",3,0.29566279,0.31965542,0.03628736,0.1066581698,NA,1,NA,NA,1
"4","csl.bonn.4","csl","bonn",4,0.25149389,0.26375659,-99,0.1678352709,NA,NA,NA,1,1
"5","csl.Dmales.4","csl","Dmales",4,0.33673103,0.2088117,0.21963282,-99,NA,NA,1,NA,1
"6","csl.Dmales.5","csl","Dmales",5,0.39917152,0.28168337,0.18895975,-99,1,1,NA,NA,2
"7","csl.Dmales6.5","csl","Dmales6",5,0.30165025,-99,0.27398831,-99,1,NA,1,NA,2
"8","csl.Dpups.-3","csl","Dpups",-3,0.48070128,0.39413867,-99,0.2281422638,1,NA,NA,NA,1
"9","csl.Dpups.-4","csl","Dpups",-4,0.46232152,0.38831556,-99,0.2584548581,NA,NA,NA,1,1
"10","csl.Dpups.-5","csl","Dpups",-5,0.46489568,0.48633739,0.35311143,-99,NA,1,1,NA,2
"11","csl.haulout.2","csl","haulout",2,0.37441519,0.17780933,-99,0.0803752456,1,1,NA,NA,2
"12","csl.haulout.4","csl","haulout",4,0.242562,0.1095044,-99,0.1707714851,NA,NA,NA,1,1
"13","csl.males.3","csl","males",3,0.16334904,0.11778874,-99,-99,NA,1,NA,NA,1
"14","csl.males.5","csl","males",5,0.24218632,0.08179574,-99,-99,1,NA,NA,NA,1
"15","csl.males6.2","csl","males6",2,0.14465319,0.14306352,-99,0.0010284493,NA,NA,NA,1,1
"16","csl.males6.4","csl","males6",4,0.23630369,0.15623312,-99,-99,1,1,NA,NA,2
"17","csl.pups.-3","csl","pups",-3,0.35486457,0.32610414,0.13137623,0.0752597246,1,NA,NA,NA,1
"18","csl.pups.-4","csl","pups",-4,0.34065093,0.34216176,0.18982053,0.1452094612,NA,NA,NA,1,1
"19","csl.pups.-5","csl","pups",-5,0.34201201,0.41090847,0.28940948,0.0997089203,NA,1,1,NA,2
"20","flow.gageht.0","flow","gageht",0,0.25770575,-99,0.28174714,0.231433432,NA,NA,NA,1,1
"21","flow.gageht.3","flow","gageht",3,0.26802825,-99,0.32633198,0.1885169365,1,NA,1,NA,2
"22","flow.mean.0","flow","mean",0,0.04836828,-99,0.23495221,0.2549390152,NA,NA,1,1,2
"23","flow.mean.3","flow","mean",3,0.11787582,-99,0.21807147,0.2317953673,1,NA,NA,NA,1
"24","flow.peak.3","flow","peak",3,0.20618622,-99,0.32834812,0.1965791848,1,NA,1,1,3
"25","flow.peakday.3","flow","peakday",3,0.16394265,-99,0.20606538,-99,1,NA,NA,NA,1
"26","flow.peakday.4","flow","peakday",4,0.13977427,-99,0.23862848,-99,NA,NA,1,NA,1
"27","harv.COL.5","harv","COL",5,0.37627188,0.40750568,0.31998438,-99,NA,1,NA,NA,1
"28","harv.CRsport.4","harv","CRsport",4,0.33872195,0.29369401,0.24085296,0.2846674559,NA,NA,NA,1,1
"29","harv.CRsport.5","harv","CRsport",5,0.42026668,0.34122004,0.30049723,0.1114538902,1,1,1,NA,3
"30","harv.NBC.4","harv","NBC",4,0.52262341,0.47946788,0.37069713,-99,NA,NA,1,NA,1
"31","harv.NBC.5","harv","NBC",5,0.52340805,0.54159902,0.36165149,0.3448264844,1,1,NA,1,3
"32","harv.ORWA.4","harv","ORWA",4,0.41178597,0.34559184,0.42839498,0.4202711226,NA,NA,1,NA,1
"33","harv.ORWA.5","harv","ORWA",5,0.50400392,0.46640289,0.41253433,0.4883700127,1,1,NA,1,3
"34","harv.ORWAsport.5","harv","ORWAsport",5,0.4849896,0.44819558,0.47498538,0.524849763,1,1,1,1,4
"35","harv.PACtot.4","harv","PACtot",4,0.44721646,0.36425989,0.34802474,0.3734813448,1,1,NA,NA,2
"36","harv.PACtot.5","harv","PACtot",5,0.43902778,0.35663698,0.41609494,0.4767133261,NA,NA,1,1,2
"37","harv.SEAK.4","harv","SEAK",4,0.44700195,0.44823199,0.19598616,0.3334432853,NA,1,NA,NA,1
"38","harv.SEAK.5","harv","SEAK",5,0.49269426,0.42681008,0.24361069,0.4342681864,1,NA,1,1,3
"39","harv.stock.0","harv","stock",0,0.53067346,0.47391062,-99,-99,1,1,NA,NA,2
"40","harv.WCVI.5","harv","WCVI",5,0.38216177,0.39200902,-99,0.307761625,1,1,NA,1,3
"41","hatch.all.1","hatch","all",1,0.42214136,0.49963432,0.32673254,0.4321437657,1,1,1,1,4
"42","hatch.BC.1","hatch","BC",1,0.4026595,0.44649998,0.36168465,0.3330546086,1,NA,1,1,3
"43","hatch.BC.2","hatch","BC",2,0.38523968,0.46427696,0.34445084,0.3112844243,NA,1,NA,NA,1
"44","hatch.CAOR.2","hatch","CAOR",2,0.35332804,0.42679791,-99,0.2897620437,NA,1,NA,1,2
"45","hatch.CAOR.3","hatch","CAOR",3,0.38898092,0.41928827,-99,-99,1,NA,NA,NA,1
"46","hatch.SAL.1","hatch","SAL",1,0.30376603,0.38988439,0.05568387,0.2318860492,1,1,1,NA,3
"47","hatch.SAL.3","hatch","SAL",3,0.27242138,0.27781146,-99,0.2609107846,NA,NA,NA,1,1
"48","hatch.SNAK.3","hatch","SNAK",3,0.33376399,0.28274319,0.26699334,0.1925930875,1,1,1,1,4
"49","hatch.spring.3","hatch","spring",3,0.5172338,0.47447735,0.350452,0.3059669485,1,1,1,1,4
"50","hatch.sum.1","hatch","sum",1,0.35256436,0.44180157,0.14259803,0.3980719175,NA,NA,NA,1,1
"51","hatch.summer.2","hatch","summer",2,0.32686443,0.2952344,0.26578896,0.0169495142,NA,NA,NA,1,1
"52","hatch.summer.3","hatch","summer",3,0.35353656,0.33089583,0.28148948,-99,1,1,1,NA,3
"53","hatch.total.3","hatch","total",3,0.49790752,0.47429954,0.36600808,0.2591050356,1,1,1,1,4
"54","hatch.WA.1","hatch","WA",1,0.44941727,0.51283091,0.35290499,0.3301134792,1,1,1,NA,3
"55","hatch.WA.2","hatch","WA",2,0.43579587,0.40014699,0.32262923,0.3471965932,NA,NA,NA,1,1
"56","hatch.WAK.1","hatch","WAK",1,0.26850325,0.37048721,0.13816973,0.0530381893,NA,1,1,NA,2
"57","hatch.WAK.2","hatch","WAK",2,0.2834068,0.34470425,0.07094096,0.111301281,1,NA,NA,1,2
"58","npgo.fal.2","npgo","fal",2,0.44972535,0.39064604,0.28642814,0.3341048481,1,NA,NA,1,2
"59","npgo.spr.2","npgo","spr",2,0.49968505,0.46115994,0.29242556,0.420248067,1,1,1,1,4
"60","npgo.sum.2","npgo","sum",2,0.47706762,0.46854281,0.28461426,0.3366800501,1,1,NA,NA,2
"61","npgo.win.2","npgo","win",2,0.50170353,0.44626334,0.30936196,0.3394625661,1,NA,1,NA,2
"62","npgo.win.3","npgo","win",3,0.49132076,0.46016334,0.27469508,0.3064792434,NA,1,NA,NA,1
"63","npgo.yravg.2","npgo","yravg",2,0.50266295,0.40587189,0.30792072,0.3591745438,1,NA,1,1,3
"64","npgo.yravg.3","npgo","yravg",3,0.48126227,0.40994017,0.22357525,0.2754220581,NA,1,NA,NA,1
"65","npgo.yrsum.2","npgo","yrsum",2,0.49220555,0.44979191,0.31598516,0.3573748583,1,1,1,1,4
"66","orca.DNRKW.4","orca","DNRKW",4,0.43699841,0.29230021,0.1421231,0.2503405187,1,1,NA,1,3
"67","orca.DNRKW.5","orca","DNRKW",5,0.3958508,0.23568876,0.14423492,0.1659034323,NA,NA,1,NA,1
"68","orca.DSEAK.5","orca","DSEAK",5,0.55894666,0.40167678,0.34828181,0.3203413118,1,1,1,1,4
"69","orca.NRKW.4","orca","NRKW",4,0.3171602,0.31089601,-99,-99,1,NA,NA,NA,1
"70","orca.NRKW.5","orca","NRKW",5,0.31136307,0.31801326,-99,-99,NA,1,NA,NA,1
"71","orca.SRKWbirthsJKL.4","orca","SRKWbirthsJKL",4,0.3541717,0.3491385,0.16960124,0.2413538656,1,NA,NA,1,2
"72","orca.SRKWbirthsJKL.5","orca","SRKWbirthsJKL",5,0.3222991,0.3611105,0.1769314,0.2007889927,NA,1,1,NA,2
"73","orca.SRKWdeathsJKL.4","orca","SRKWdeathsJKL",4,0.4426992,0.3768629,0.3164571,0.2992561441,1,1,NA,1,3
"74","orca.SRKWdeathsJKL.5","orca","SRKWdeathsJKL",5,0.4172128,0.3536171,0.35200829,0.1612041427,NA,NA,1,NA,1
"75","orca.SRKWpodJ.4","orca","SRKWpodJ",4,0.1868805,0.1730209,0.02211643,-99,NA,1,1,NA,2
"76","orca.SRKWpodJ.5","orca","SRKWpodJ",5,0.2223988,0.1552279,-99,-99,1,NA,NA,NA,1
"77","orca.SRKWpodJKL.4","orca","SRKWpodJKL",4,0.2625124,0.3049047,0.19304998,-99,1,1,1,NA,3
"78","orca.SRKWpodJKL.5","orca","SRKWpodJKL",5,0.2509563,0.2602352,-99,0.1472908419,NA,NA,NA,1,1
"79","orca.SRKWpodK.5","orca","SRKWpodK",5,0.3218826,0.283127,0.24627265,0.1187203698,1,1,1,1,4
"80","orca.SRKWpodKL.4","orca","SRKWpodKL",4,0.2503919,0.338368,0.01036478,-99,1,1,1,NA,3
"81","orca.SRKWpodL.4","orca","SRKWpodL",4,0.2332918,0.3030206,0.03873415,-99,1,1,1,NA,3
"82","pdo.fal.2","pdo","fal",2,0.3745253,0.334364,0.34961852,0.1188049999,NA,NA,1,NA,1
"83","pdo.sum.2","pdo","sum",2,0.3611015,0.2985066,0.35262515,0.2397691775,NA,NA,1,NA,1
"84","pdo.yr.2","pdo","yr",2,0.3546868,0.2848637,0.29013035,0.2098054121,NA,NA,1,NA,1
"85","pdo.yr.3","pdo","yr",3,0.36212,0.277941,0.20293256,0.1214423804,1,NA,NA,NA,1
"86","ssl.bonn.4","ssl","bonn",4,0.1936886,0.1214545,0.14257698,-99,NA,NA,1,NA,1
"87","ssl.COL.2","ssl","COL",2,0.6736962,0.293148,0.47356033,0.3283828612,1,NA,1,NA,2
"88","ssl.COL.3","ssl","COL",3,0.6254746,0.3673325,0.34019722,0.4452425288,NA,NA,NA,1,1
"89","ssl.rookORraw.2","ssl","rookORraw",2,0.3130021,0.2557867,0.35749569,0.1262097682,NA,NA,NA,1,1
"90","ssl.rookORraw.3","ssl","rookORraw",3,0.3450439,0.2683706,0.31075276,-99,1,1,NA,NA,2
"91","ssl.rookORraw.5","ssl","rookORraw",5,0.1981647,0.1211755,0.36113834,-99,NA,NA,1,NA,1
"92","upw.fal.4","upw","fal",4,0.2816059,0.41899,0.09777023,0.2024508699,NA,1,NA,NA,1
"93","upw.fti.2","upw","fti",2,0.4222162,0.3055832,0.26520473,0.2118087468,1,NA,1,NA,2
"94","upw.fti.3","upw","fti",3,0.3595796,0.3305329,0.1750219,0.191525079,NA,1,NA,NA,1
"95","upw.fti.4","upw","fti",4,0.3569741,0.3298922,0.17781577,0.2315040987,NA,NA,NA,1,1
"96","upw.lusi.2","upw","lusi",2,0.4073231,0.2927643,0.27728676,-99,NA,NA,1,NA,1
"97","upw.lusi.4","upw","lusi",4,0.4579665,0.4973506,0.25498024,0.2797060468,NA,1,NA,NA,1
"98","upw.lusi.5","upw","lusi",5,0.4699283,0.4844827,0.23569728,0.3091502198,1,NA,NA,1,2
"99","upw.sti.2","upw","sti",2,0.3832797,0.3919217,0.27550937,-99,NA,NA,1,NA,1
"100","upw.sti.3","upw","sti",3,0.3947708,0.4380931,0.12840809,-99,NA,1,NA,NA,1
"101","upw.sti.4","upw","sti",4,0.4240606,0.3869128,-99,0.2696889645,1,NA,NA,NA,1
"102","upw.sti.5","upw","sti",5,0.4054009,0.4074146,-99,0.2820879911,NA,NA,NA,1,1
"103","upw.tdmi.4","upw","tdmi",4,0.4660473,0.4286801,0.23811315,0.3677585962,1,1,1,1,4
"104","upw.tumi.2","upw","tumi",2,0.3991342,0.3486681,0.30223447,-99,1,NA,1,NA,2
"105","upw.tumi.4","upw","tumi",4,0.3792014,0.3888683,0.29516946,0.192130366,NA,1,NA,1,2
"106","upw.yr.3","upw","yr",3,0.3571005,0.3756315,0.16288168,0.1568462786,NA,1,NA,NA,1
"107","upw.yr.5","upw","yr",5,0.3539797,0.3425255,0.17292371,0.2946793677,NA,NA,NA,1,1
