Time,M1,M2
502,0.886526453,0.856681608
503,0.367080327,0.368966133
504,0.880154166,0.804070223
505,0.386680563,0.494778087
506,0.897376658,0.859598875
507,0.334521128,0.360699554
508,0.843530391,0.797430921
509,0.488096963,0.511559389
510,0.944467796,0.854557085
511,0.183161806,0.370444325
512,0.567174498,0.810825545
513,0.923655238,0.500065817
514,0.25872394,0.838048912
515,0.724449813,0.457684401
516,0.751933281,0.842207315
517,0.696146888,0.414466841
518,0.798029717,0.826311891
519,0.599289064,0.449568208
520,0.907149964,0.844544515
521,0.304747275,0.398221487
522,0.80270308,0.829035417
523,0.588499827,0.442837387
524,0.915025372,0.842714747
525,0.280042866,0.402224678
526,0.763898862,0.83252874
527,0.672638729,0.437108809
528,0.830863978,0.837635138
529,0.520091091,0.420331928
530,0.944093905,0.835296623
531,0.184794325,0.418428736
532,0.570905988,0.84552559
533,0.921240583,0.418524982
534,0.268002967,0.820921399
535,0.741073844,0.496932344
536,0.721791655,0.845505978
537,0.750866571,0.408367334
538,0.704718074,0.82108174
539,0.779171316,0.467882315
540,0.646549621,0.842224752
541,0.857497391,0.42152456
542,0.457114216,0.824529122
543,0.935472996,0.476230653
544,0.220470405,0.83738249
545,0.649387821,0.461836249
546,0.859198244,0.845909482
547,0.445175084,0.398068892
548,0.935033862,0.824458344
549,0.21541512,0.444872023
550,0.640326852,0.856696599
551,0.864200507,0.385801111
552,0.439292176,0.802682387
553,0.928943086,0.526132838
554,0.2410548,0.833509965
555,0.691181625,0.469625136
556,0.804616503,0.845803085
557,0.583782445,0.402027022
558,0.918631981,0.822628829
559,0.268925743,0.450231784
560,0.744676235,0.856644623
561,0.709748994,0.378782314
562,0.777443559,0.802064725
563,0.645024071,0.505764353
564,0.863553867,0.848785288
565,0.433089188,0.390583134
566,0.929604038,0.819565236
567,0.233435985,0.456623517
568,0.677853932,0.859887294
569,0.81814076,0.375053737
570,0.559251601,0.79581177
571,0.927757962,0.533129168
572,0.244795583,0.831589417
573,0.698437294,0.473884051
574,0.793746468,0.846134587
575,0.608677121,0.40193866
576,0.90022626,0.821771839
577,0.326516364,0.453437646
578,0.83267193,0.85556743
579,0.515203531,0.37550875
580,0.945252371,0.805279676
581,0.181427388,0.487919717
582,0.562573225,0.867407474
583,0.925361844,0.363502701
584,0.255728317,0.782879984
585,0.719255019,0.578909835
586,0.758995823,0.819895628
587,0.682654475,0.467049966
588,0.816845227,0.845693333
589,0.554698576,0.401472372
590,0.934176727,0.823207381
591,0.218283741,0.447857768
592,0.646461407,0.857663351
593,0.857397489,0.382913545
594,0.458048551,0.800752938
595,0.935976614,0.529074148
596,0.217808669,0.832425346
597,0.643772412,0.473722105
598,0.865352692,0.848185615
599,0.428086567,0.391965345
600,0.926992239,0.820726188
601,0.24195885,0.454106948
602,0.694778603,0.858838382
603,0.793898874,0.376586353
604,0.615789687,0.797774033
605,0.889227223,0.525356307
606,0.364965018,0.835376812
607,0.874611438,0.456937715
608,0.40873897,0.836538302
609,0.911512897,0.451242834
610,0.298270843,0.833774493
611,0.790386507,0.465185808
612,0.622214039,0.841343775
613,0.882772251,0.425315822
614,0.385735395,0.825441397
615,0.894017641,0.478835483
616,0.351488627,0.839185232
617,0.860289333,0.4487397
618,0.449007147,0.834919657
619,0.932621272,0.452410089
620,0.230349027,0.83331902
621,0.669856657,0.470788171
622,0.83405791,0.846784494
623,0.511814843,0.397590416
624,0.945399702,0.822013556
625,0.180609972,0.449904935
626,0.560736891,0.85971611
627,0.926340423,0.383549157
628,0.252182663,0.799113437
629,0.712598505,0.545737227
630,0.770469297,0.836567049
631,0.659125181,0.426965238
632,0.848152401,0.833816849
633,0.475257567,0.428405788
634,0.943601624,0.840771693
635,0.186359807,0.405093002
636,0.574683491,0.837434872
637,0.91917983,0.437981175
638,0.274243758,0.829331152
639,0.751780875,0.477198362
640,0.701929313,0.84448041
641,0.783197989,0.41224512
642,0.638778426,0.82221722
643,0.866309792,0.469599052
644,0.431968752,0.839219778
645,0.925162313,0.443253461
646,0.254899001,0.830922894
647,0.717480872,0.47477102
648,0.763455084,0.845521115
649,0.673337043,0.405511665
650,0.830365304,0.821908159
651,0.52161363,0.457714258
652,0.943449834,0.849641707
653,0.186706644,0.382999824
654,0.575589465,0.821367667
655,0.918832273,0.475708234
656,0.274660281,0.837966999
657,0.752440516,0.456811576
658,0.700965915,0.840973777
659,0.784738385,0.420919575
660,0.635305164,0.826687063
661,0.869927577,0.459448586
662,0.421989894,0.83726958
663,0.919808423,0.448606762
664,0.272038729,0.83274499
665,0.747997127,0.469359588
666,0.709268623,0.843627708
667,0.771618072,0.4138513
668,0.663263065,0.823477594
669,0.837788006,0.46507328
670,0.508624542,0.839559809
671,0.941176931,0.437285317
672,0.202147821,0.828309012
673,0.609530686,0.484350906
674,0.898506975,0.850524731
675,0.331246278,0.383827252
676,0.839241461,0.817592317
677,0.49895473,0.467080332
678,0.945334809,0.852562879
679,0.180253102,0.375471368
680,0.560141702,0.815309779
681,0.927121528,0.49049398
682,0.247660412,0.838303922
683,0.703881689,0.457817421
684,0.78559759,0.842992261
685,0.62680421,0.410266866
686,0.883755491,0.826245316
687,0.375776572,0.444058071
688,0.88802312,0.850697422
689,0.362755843,0.384104494
690,0.875636634,0.816841919
691,0.399503918,0.466418657
692,0.907895321,0.85614614
693,0.302215525,0.368876457
694,0.799119342,0.805904743
695,0.597124672,0.495956884
696,0.908230871,0.851250939
697,0.301258066,0.381329132
698,0.797608677,0.81652001
699,0.600405217,0.472251716
700,0.906020563,0.849621723
701,0.308164255,0.385594298
702,0.80777985,0.819683563
703,0.576789465,0.464338559
704,0.922236325,0.849122869
705,0.256860808,0.385748923
706,0.723374991,0.821386717
707,0.748510319,0.465953374
708,0.708346544,0.843041223
709,0.773105221,0.415356292
710,0.660149163,0.82423492
711,0.841656173,0.463521569
712,0.498627511,0.839132571
713,0.94162455,0.43898868
714,0.200610225,0.828902665
715,0.606064171,0.483077722
716,0.901395966,0.85057564
717,0.322414749,0.383502087
718,0.827688285,0.817607088
719,0.528422998,0.467802177
720,0.941986157,0.851595756
721,0.191619471,0.378156171
722,0.587176266,0.817242318
723,0.911523829,0.484361367
724,0.297632786,0.838823462
725,0.789387313,0.453222407
726,0.624613575,0.838720057
727,0.880514018,0.431530455
728,0.39219514,0.828194236
729,0.899340551,0.472024802
730,0.33551285,0.838299975
731,0.841561906,0.45193511
732,0.499068136,0.836487672
733,0.941647413,0.445319015
734,0.200414067,0.830988285
735,0.605612586,0.478240305
736,0.901822163,0.850172537
737,0.321113917,0.384490825
738,0.825929817,0.818424478
739,0.532805844,0.466043586
740,0.940944136,0.851099507
741,0.19514268,0.379485009
742,0.595354579,0.818242182
743,0.905705631,0.48155516
744,0.31580823,0.83891748
745,0.815780148,0.451777333
746,0.563703992,0.837376932
747,0.925138191,0.438856203
748,0.255058518,0.829434816
749,0.71778286,0.478230105
750,0.762903071,0.845880021
751,0.674445016,0.404658581
752,0.828903559,0.821351452
753,0.525308883,0.459100665
754,0.942742557,0.849851783
755,0.18909648,0.38251774
756,0.581241549,0.820906094
757,0.915376386,0.476395897
758,0.285635709,0.838163438
759,0.770594025,0.45560646
760,0.664737968,0.840015238
761,0.835705527,0.42569253
762,0.514631764,0.827214112
763,0.94067225,0.466201385
764,0.203299423,0.835918371
765,0.612082482,0.46646063
766,0.896552318,0.848221897
767,0.33722628,0.389757262
768,0.846689193,0.821947975
769,0.479346404,0.456548499
770,0.944002133,0.850884294
771,0.184811272,0.379821815
772,0.571089143,0.818834586
773,0.921443517,0.481795571
774,0.266185427,0.838324303
775,0.737793838,0.456526353
776,0.728389098,0.841439361
777,0.73952809,0.41793545
778,0.725798417,0.826702933
779,0.744256891,0.453426603
780,0.716537253,0.840410945
781,0.759780433,0.421246499
782,0.687152584,0.827688213
783,0.805525898,0.453671674
784,0.587976032,0.838252359
785,0.910731381,0.435118911
786,0.301013454,0.828564439
787,0.794548366,0.477206209
788,0.61273352,0.842848478
789,0.891377553,0.422276904
790,0.36040156,0.823744269
791,0.870009072,0.484413472
792,0.421325606,0.840434181
793,0.919397362,0.441038273
794,0.273492451,0.830393148
795,0.75049633,0.474772787
796,0.704429732,0.844267338
797,0.779297701,0.412601838
798,0.647141825,0.822542291
799,0.857081246,0.468298524
800,0.45744594,0.839372967
801,0.935439422,0.441173542
802,0.221237713,0.829872778
803,0.651036049,0.479455895
804,0.857071964,0.848551343
805,0.450953137,0.391610298
806,0.937326782,0.819753023
807,0.207864557,0.455682899
808,0.623801749,0.860548355
809,0.881021651,0.377072167
810,0.39168133,0.795533918
811,0.899182934,0.544381298
812,0.334691377,0.828946182
813,0.840608802,0.474085143
814,0.501175045,0.840767859
815,0.941567316,0.434860682
816,0.200880549,0.827392994
817,0.606680562,0.486551823
818,0.900849548,0.85075249
819,0.324086631,0.383092417
820,0.829923946,0.81723175
821,0.522805917,0.468514844
822,0.943124736,0.851935011
823,0.18776416,0.37721764
824,0.578116806,0.816569486
825,0.917370055,0.486477358
826,0.279122908,0.838657603
827,0.759928807,0.454861515
828,0.68634741,0.840215821
829,0.806510043,0.423751788
830,0.586160854,0.82731093
831,0.912091222,0.461241461
832,0.296273248,0.836086672
833,0.787328358,0.459843313
834,0.629040223,0.840392227
835,0.876151949,0.42717472
836,0.404851504,0.826496078
837,0.908905538,0.475132435
838,0.305988781,0.838287575
839,0.801836526,0.453944782
840,0.596520114,0.838457049
841,0.904595567,0.434051373
842,0.320096405,0.828366449
843,0.821708704,0.476401593
844,0.548884069,0.841733836
845,0.931679036,0.429301804
846,0.233882769,0.825508459
847,0.67702871,0.488709075
848,0.824293775,0.848084197
849,0.536386069,0.39500523
850,0.940731499,0.81946632
851,0.196453879,0.456122624
852,0.598074917,0.861093151
853,0.903149016,0.37744122
854,0.325571596,0.795156856
855,0.829206371,0.549378068
856,0.529057073,0.830022499
857,0.938009023,0.458667684
858,0.212358074,0.834601985
859,0.632051377,0.468966534
860,0.87780903,0.847916358
861,0.392703107,0.391795035
862,0.903174849,0.821712169
863,0.317467161,0.453382499
864,0.820512017,0.855879106
865,0.545588597,0.37554449
866,0.938004527,0.804396468
867,0.205887179,0.490337564
868,0.619271979,0.866596893
869,0.885208758,0.361690779
870,0.379730573,0.78243321
871,0.889091731,0.572041082
872,0.364537036,0.816147529
873,0.874318864,0.501376309
874,0.408797218,0.839924349
875,0.911524625,0.44311133
876,0.298382298,0.831360326
877,0.790569884,0.470856113
878,0.621717849,0.842247646
879,0.8832293,0.42314169
880,0.38443953,0.82442631
881,0.892915115,0.481261128
882,0.354752801,0.839392965
883,0.863876815,0.448021294
884,0.439115218,0.834580933
885,0.928584021,0.453876423
886,0.243570553,0.833837163
887,0.696065004,0.468686765
888,0.797397625,0.845469268
889,0.600424177,0.403344432
890,0.906833387,0.822927734
891,0.306123895,0.450311208
892,0.804408792,0.855330502
893,0.584113384,0.37804799
894,0.918698309,0.805281144
895,0.26903235,0.489627147
896,0.744650479,0.86408537
897,0.709686513,0.359571124
898,0.777816297,0.785564436
899,0.644488303,0.54070335
900,0.863698355,0.841323172
901,0.432816336,0.409112768
902,0.929306736,0.831922634
903,0.234181534,0.427546873
904,0.679491592,0.848617019
905,0.816041958,0.403501359
906,0.563860947,0.81606612
907,0.925299806,0.488545902
908,0.253615258,0.838376698
909,0.715066821,0.457244225
910,0.767696594,0.842444989
911,0.664751585,0.412820631
912,0.841367814,0.826445298
913,0.493271568,0.446389577
914,0.945424141,0.847325426
915,0.180048232,0.388691117
916,0.559597628,0.826037512
917,0.927257894,0.465968503
918,0.247671171,0.836380662
919,0.703911667,0.462396385
920,0.785486397,0.844011992
921,0.627031366,0.407758329
922,0.883565976,0.824765978
923,0.376358436,0.447545895
924,0.888539749,0.85189497
925,0.361201231,0.381039351
926,0.874039989,0.814458724
927,0.404120139,0.47195543
928,0.911252265,0.856989122
929,0.291693318,0.366481022
930,0.782973638,0.804052384
931,0.633127461,0.501068372
932,0.876308098,0.849616793
933,0.396999898,0.387626256
934,0.906607968,0.818491489
935,0.30690483,0.460607027
936,0.80548692,0.858259676
937,0.581549079,0.37046966
938,0.920420116,0.799040916
939,0.263629253,0.503174591
940,0.735036676,0.864352604
941,0.727372875,0.359538662
942,0.748315615,0.78502565
943,0.703940612,0.54366557
944,0.784297097,0.837709951
945,0.629725341,0.423270882
946,0.880720188,0.833070697
947,0.384524081,0.428027514
948,0.896036449,0.843702913
949,0.338869728,0.40105999
950,0.848622593,0.829865494
951,0.474071842,0.437821238
952,0.943294202,0.844863608
953,0.187323853,0.394985427
954,0.577007979,0.830482573
955,0.917881229,0.454398837
956,0.278084375,0.834355136
957,0.758222708,0.465161561
958,0.689566004,0.842536306
959,0.801826287,0.417862324
960,0.597122332,0.824582668
961,0.904308025,0.466871183
962,0.320389171,0.837383057
963,0.822046042,0.455141279
964,0.548405177,0.838025166
965,0.931904821,0.438320268
966,0.232971803,0.829006816
967,0.675181875,0.480689987
968,0.826891917,0.847730679
969,0.52991873,0.395713282
970,0.942404587,0.820159311
971,0.190798652,0.454409303
972,0.584965186,0.860789155
973,0.912496851,0.379126616
974,0.296497084,0.79618754
975,0.787907595,0.549069912
976,0.626362698,0.831963195
977,0.878901167,0.447612673
978,0.396580696,0.833921904
979,0.902742554,0.458279181
980,0.325359891,0.835811157
981,0.828664374,0.45855288
982,0.531923243,0.838588562
983,0.93720615,0.43806707
984,0.21542179,0.82873036
985,0.63868739,0.482495099
986,0.870746799,0.849274442
987,0.412887821,0.388865535
988,0.917952423,0.81892733
989,0.271165209,0.458859847
990,0.748523089,0.859122061
991,0.702436388,0.372163892
992,0.789045704,0.796889036
993,0.61994417,0.516196601
994,0.888930644,0.8484808
995,0.360100414,0.389624717
996,0.872820722,0.821136217
997,0.407483801,0.456713979
998,0.91375279,0.853553837
999,0.283874045,0.375103918
1000,0.770370727,0.811884809
