Year,Pup count,F,M,Total,Multiplier
1975,12499,49136,39788,88924,7.12
1976,14749,51944,42226,94170,6.39
1977,11712,50784,40415,91199,7.79
1978,13449,50942,39971,90913,6.76
1979,14145,52151,40661,92812,6.56
1980,14878,53180,41153,94333,6.34
1981,16701,54748,42249,96997,5.81
1982,20540,58881,45899,104780,5.1
1983,11595,55342,41465,96807,8.35
1984,13550,53657,39354,93011,6.86
1985,15224,53753,39259,93012,6.11
1986,17896,55489,41187,96676,5.4
1987,19796,58017,43827,101844,5.14
1988,19452,60513,46337,106850,5.49
1989,23757,65162,51021,116183,4.89
1990,25422,70281,56040,126321,4.97
1991,30747,76840,62383,139223,4.53
1992,22364,77663,62675,140338,6.28
1993,24274,77681,62178,139859,5.76
1994,36184,85138,68990,154128,4.26
1995,36073,93031,76067,169098,4.69
1996,41044,100531,82570,183101,4.46
1997,39245,105432,86367,191799,4.89
1998,14506,83352,62559,145911,10.06
1999,41695,94426,72932,167358,4.01
2000,49372,107358,84274,191632,3.88
2001,49078,110679,85126,195805,3.99
2002,45658,114253,86612,200865,4.4
2003,36659,110691,81384,192075,5.24
2004,43490,114985,85342,200327,4.61
2005,48331,122423,92825,215248,4.45
2006,56144,135829,106364,242193,4.31
2007,54088,144443,114561,259004,4.79
2008,59774,156091,125359,281450,4.71
2009,35914,154229,121926,276155,7.69
2010,33873,139983,106348,246331,7.27
2011,62109,155174,120315,275489,4.44
2012,67396,171149,135071,306220,4.54
2013,42913,146010,107652,253662,5.91
2014,47691,148499,109107,257606,5.4